genus,species,subspecies,variant,nfix
Lessertia,affinis,,,yes
Lupinus,affinis,,,yes
Lathyrus,affinis,,,yes
Psoralea,affinis,,,yes
Oenothera,affinis,,,no
Portulacaria,afra,,,no
Portulacaria,afra,,,no
Portulacaria,afra,,,yes
Portulacaria,afra,,,no
Aeschynomene,afraspera,,,yes
Burkea,africana,,,yes
Burkea,africana,,,yes
Burkea,africana,,,yes
Burkea,africana,,,yes
Burkea,africana,,,no
Celtis,africana,,,no
Kiggelaria,africana,,,no
Mammea,africana,,,no
Celtis,africana,,,no
Spirostachys,africana,,,no
Spirostachys,africana,,,no
Celtis,africana,,,no
Celtis,africana,,,no
Kiggelaria,africana,,,no
Celtis,africana,,,no
Kiggelaria,africana,,,no
Celtis,africana,,,no
Mammea,africana,,,no
Celtis,africana,,,no
Burkea,africana,,,no
Prosopis,africana,,,yes
Canavalia,africana,,,yes
Celtis,africana,,,yes
Kiggelaria,africana,,,yes
Mammea,africana,,,yes
Funtumia,africana,,,yes
Dalhousiea,africana,,,yes
Didelotia,africana,,,yes
Pahudia,africana,,,yes
Parkia,africana,,,yes
Parkinsonia,africana,,,yes
Burkea,africana,,,no
Commiphora,africana,,,no
Didelotia,africana,,,no
Malcolmia,africana,,,no
Prunus,africana,,,no
Erythrophleum,africanum,,,yes
Erythrophleum,africanum,,,yes
Erythrophleum,africanum,,,yes
Erythrophleum,africanum,,,yes
Erythrophleum,africanum,,,yes
Erythrophleum,africanum,,,yes
Peltophorum,africanum,,,yes
Peltophorum,africanum,,,yes
Peltophorum,africanum,,,yes
Peltophorum,africanum,,,yes
Peltophorum,africanum,,,yes
Peltophorum,africanum,,,yes
Peltophorum,africanum,,,yes
Peltophorum,africanum,,,yes
Erythrophleum,africanum,,,yes
Macrotyloma,africanum,,,yes
Trifolium,africanum,,,yes
Peltophorum,africanum,,,yes
Baryxylum,africanum,,,yes
Gnetum,africanum,,,no
Peltophorum,africanum,,,yes
Piptadeniastrum,africanum,,,no
Sporobolus,africanus,,,no
Sporobolus,africanus,,,yes
Sporobolus,africanus,,,no
Hymenostegia,afzelii,,,yes
Crotalaria,agatiflora,,,yes
Eryngium,agavifolium,,,yes
Eryngium,agavifolium,,,no
Ipomopsis,aggregata,,,no
Ipomopsis,aggregata,,,yes
Adenanthera,aglaosperma,,,yes
Cassia,agnes,,,yes
Vitex,agnus-castus,,,no
Vitex,agnus-castus,,,no
Vitex,agnus-castus,,,yes
Trifolium,agrarium,,,yes
Astragalus,agrestis,,,yes
Astragalus,agrestis,,,yes
Medicago,agrestis,,,yes
Veronica,agrestis,,,no
Quercus,agrifolia,,,no
Quercus,agrifolia,,,no
Quercus,agrifolia,,,no
Quercus,agrifolia,,,no
Quercus,agrifolia,,,no
Quercus,agrifolia,,,no
Quercus,agrifolia,,,yes
Pachyrhizus,ahipa,,,yes
Juglans,ailanthifolia,,,no
Juglans,ailanthifolia,,,no
Juglans,ailanthifolia,,,no
Juglans,ailanthifolia,,,yes
Juglans,ailantifolia,,,no
Juglans,ailantifolia,,,yes
Minuartia,aizoides,,,no
Minuartia,aizoides,,,yes
Saxifraga,aizoides,,,yes
Saxifraga,aizoides,,,no
Consolida,ajacis,,,no
Hymenolobium,alagoanum,,,yes
Lotus,alamosanus,,,yes
Agrostis,alaskana,,,no
Lophira,alata,,,no
Sterculia,alata,,,no
Terminalia,alata,,,no
Crescentia,alata,,,no
Lophira,alata,,,no
Sterculia,alata,,,no
Terminalia,alata,,,no
Lophira,alata,,,no
Bauhinia,alata,,,yes
Acacia,alata,,,yes
